rank,start,decay_per_day,floor,mean_cohort_accuracy,mean_event_accuracy,delta_vs_50_50_pp,delta_vs_irl_only_pp,delta_vs_online_only_pp
36,1.0,0.04,0.35,84.71312831505716,84.9059559318449,0.601203359203879,2.5099991327061844,8.340875454783756
37,0.9,0.02,0.4,84.71271113811423,84.95538629969091,0.600786182260947,2.5095819557632524,8.340458277840824
38,0.8,0.02,0.4,84.71226444967024,85.01347148195164,0.6003394938169606,2.509135267319266,8.340011589396838
39,1.0,0.03,0.25,84.70883126300085,84.92524364770823,0.5969063071475631,2.5057020806498684,8.33657840272744
40,0.9,0.03,0.45,84.70583530636856,84.9316934823751,0.593910350515273,2.5027061240175783,8.33358244609515
41,0.9,0.02,0.25,84.70524286924264,84.96444805166448,0.593317913389356,2.5021136868916614,8.332990008969233
42,0.8,0.02,0.1,84.7052387518628,85.05062559096162,0.593313796009511,2.5021095695118163,8.332985891589388
43,1.0,0.03,0.15,84.7042283914048,84.93459266955085,0.5923034355515142,2.5010992090538195,8.331975531131391
44,1.0,0.03,0.3,84.70196616691663,84.90909251866492,0.5900412110633511,2.4988369845656564,8.329713306643228
45,1.0,0.04,0.1,84.69669039750892,84.92424141405174,0.5847654416556338,2.493561215157939,8.32443753723551
46,1.0,0.04,0.4,84.69625145758323,84.8768234281587,0.5843265017299473,2.4931222752322526,8.323998597309824
47,0.9,0.02,0.2,84.69539969579098,84.95768086991646,0.5834747399376994,2.4922705134400047,8.323146835517576
48,0.9,0.02,0.45,84.69238391062072,84.92265412627304,0.5804589547674368,2.489254728269742,8.320131050347314
49,0.8,0.02,0.45,84.69193722217673,84.98073930853378,0.5800122663234504,2.4888080398257557,8.319684361903327
50,1.0,0.03,0.35,84.68948620860216,84.88524040089759,0.5775612527488789,2.4863570262511843,8.317233348328756
51,0.85,0.02,0.5,84.68852705304454,84.92999038388322,0.5766020971912553,2.4853978706935607,8.316274192771132
52,1.0,0.05,0.5,84.68773919747044,84.90622709470587,0.5758142416171523,2.4846100151194577,8.31548633719703
53,1.0,0.03,0.1,84.68705624371604,84.92278681801484,0.5751312878627601,2.4839270613650655,8.314803383442637
54,0.9,0.02,0.15,84.6824385488249,84.94877008137728,0.5705135929716221,2.4793093664739274,8.310185688551499
55,0.95,0.04,0.5,84.68220437233373,84.89232984535158,0.5702794164804459,2.4790751899827512,8.309951512060323
56,0.95,0.03,0.5,84.680603192854,84.85805764679607,0.5686782370007109,2.477474010503016,8.308350332580588
57,0.85,0.03,0.2,84.67756183733631,85.00024940201067,0.5656368814830302,2.4744326549853355,8.305308977062907
58,0.85,0.03,0.15,84.67706397032369,85.00847562340748,0.5651390144704038,2.473934787972709,8.30481111005028
59,0.95,0.04,0.2,84.67606781655284,84.93840024415795,0.5641428606995618,2.472938634201867,8.303814956279439
60,1.0,0.04,0.45,84.67592423008972,84.84409125474085,0.563999274236437,2.4727950477387424,8.303671369816314
61,0.95,0.04,0.15,84.67556994954022,84.94662646555476,0.5636449936869354,2.4724407671892408,8.303317089266812
62,1.0,0.03,0.4,84.67260935112823,84.85610789721139,0.5606843952749472,2.4694801687772525,8.300356490854824
63,1.0,0.04,0.5,84.67243316755271,84.82862516958677,0.5605082116994282,2.4693039852017336,8.300180307279305
64,0.9,0.03,0.5,84.67228086113913,84.88133544744642,0.5603559052858458,2.469151678788151,8.300028000865723
65,0.85,0.03,0.25,84.67214065089527,84.98602808890624,0.5602156950419896,2.469011468544295,8.299887790621867
66,0.95,0.04,0.25,84.67064663011182,84.92417893105352,0.5587216742585355,2.467517447760841,8.298393769838412
67,0.85,0.03,0.3,84.66527555481106,84.96987695986293,0.5533505989577776,2.462146372460083,8.293022694537655
68,0.9,0.02,0.1,84.66526640113615,84.93696422984125,0.553341445282868,2.4621372187851733,8.293013540862745
69,0.95,0.04,0.3,84.66378153402759,84.90802780201021,0.5518565781743092,2.4606523516766146,8.291528673754186
70,1.0,0.05,0.45,84.65959648596207,84.87833833381865,0.5476715301087864,2.456467303611092,8.287343625688663
71,0.9,0.02,0.5,84.65882946539128,84.87229609134437,0.5469045095379954,2.4557002830403007,8.286576605117872
72,0.8,0.02,0.5,84.65838277694729,84.93038127360511,0.546457821094009,2.4552535945963143,8.286129916673886
73,0.85,0.03,0.35,84.6527955964966,84.94602484209558,0.5408706406433197,2.449666414145625,8.280542736223197
74,1.0,0.03,0.45,84.65228212363472,84.82337572379353,0.5403571677814369,2.4491529412837423,8.280029263361314
75,0.95,0.04,0.35,84.65130157571315,84.88417568424286,0.5393766198598655,2.448172393362171,8.279048715439743
76,0.95,0.04,0.45,84.64855233380193,84.86065342213577,0.5366273779486477,2.445423151450953,8.276299473528525
77,0.9,0.04,0.5,84.64186431288304,84.91117981647974,0.529939357029761,2.4387351305320664,8.269611452609638
78,0.95,0.05,0.5,84.64127860126048,84.91733797000619,0.5293536454071983,2.4381494189095037,8.269025740987075
79,0.85,0.03,0.5,84.64061135335878,84.90262109901934,0.5286863975054956,2.437482171007801,8.268358493085373
80,0.85,0.03,0.1,84.63635767894836,84.96431032430243,0.5244327230950745,2.43322849659738,8.264104818674952
81,0.85,0.03,0.4,84.63591873902266,84.9168923384094,0.5239937831693737,2.432789556671679,8.26366587874925
82,0.95,0.04,0.1,84.6348636581649,84.90246116644971,0.5229387023116203,2.4317344758139257,8.262610797891497
83,0.95,0.04,0.4,84.6344247182392,84.85504318055668,0.5224997623859196,2.431295535888225,8.262171857965797
84,1.0,0.03,0.5,84.61872767840528,84.77301768886485,0.5068027225519955,2.415598496054301,8.246474818131873
85,0.85,0.03,0.45,84.61559151152915,84.88416016499153,0.5036665556758635,2.412462329178169,8.24333865125574
86,0.9,0.04,0.45,84.61372160137468,84.88329105559252,0.5017966455213951,2.4105924190237005,8.241468741101272
87,0.95,0.05,0.45,84.61313588975213,84.88944920911896,0.5012109338988466,2.410006707401152,8.240883029478724
88,0.8,0.01,0.5,84.60130351832176,84.87491706104292,0.4893785624684739,2.3981743359707792,8.229050658048351
