event_id,event_name,event_start_date,slug,name,day1_entries,day1_total,day1_share,day1_share_pct,share_bin,exact_live_join,day1_points_rate_pct,event_points_rate_pct,points_rate_centered_pp,source_rate_formula_delta_pp,day2_entries,day2_total,day2_expected,day2_lift,day2_log2_lift_smoothed_05,day2_log2_lift_bounded_2,top8,top16,top32,top8_lift,top16_lift,top32_lift,top32_log2_lift_smoothed_05,winner
0040,Regional Championship Milwaukee,2025-10-10,feraligatr-tef,Feraligatr,2,2300,0.0008695652173913044,0.08695652173913043,<0.5%,True,52.08,47.22009202453988,4.859907975460118,-0.003333333333337407,0,410,0.3565217391304348,0.0,-0.7765617685120009,-0.7765617685120009,0,0,0,0.0,0.0,0.0,-0.07813456042394466,0
0040,Regional Championship Milwaukee,2025-10-10,festival-lead,Festival Lead,7,2300,0.003043478260869565,0.30434782608695654,<0.5%,True,42.75,47.22009202453988,-4.4700920245398805,-0.0036231884057968955,0,410,1.2478260869565216,0.0,-1.8055616402345533,-1.8055616402345533,0,0,0,0.0,0.0,0.0,-0.2567481429863625,0
0040,Regional Championship Milwaukee,2025-10-10,flareon-noctowl,Flareon Noctowl,53,2300,0.023043478260869565,2.3043478260869565,2-5%,True,50.0,47.22009202453988,2.7799079754601195,0.0,10,410,9.447826086956521,1.0584445467096182,0.07793613694474627,0.07793613694474627,0,0,0,0.0,0.0,0.0,-1.307301800694745,0
0040,Regional Championship Milwaukee,2025-10-10,froslass-munkidori,Froslass Munkidori,6,2300,0.0026086956521739132,0.26086956521739135,<0.5%,True,46.03,47.22009202453988,-1.1900920245398794,-0.0017460317460304964,1,410,1.0695652173913044,0.9349593495934959,-0.06540247522163961,-0.06540247522163961,0,0,0,0.0,0.0,0.0,-0.22275081036844602,0
0040,Regional Championship Milwaukee,2025-10-10,future-box,Future Box,2,2300,0.0008695652173913044,0.08695652173913043,<0.5%,True,46.67,47.22009202453988,-0.5500920245398788,0.003333333333337407,1,410,0.3565217391304348,2.8048780487804876,0.8084007322091552,0.8084007322091552,0,0,0,0.0,0.0,0.0,-0.07813456042394466,0
0040,Regional Championship Milwaukee,2025-10-10,gardevoir-ex-sv,Gardevoir,192,2300,0.08347826086956522,8.347826086956523,>=5%,True,49.59,47.22009202453988,2.369907975460123,-0.0022905856189723295,40,410,34.22608695652174,1.16869918699187,0.22190205548271422,0.22190205548271422,1,2,4,1.4973958333333333,1.4973958333333333,1.4973958333333333,0.5048486629379376,0
0040,Regional Championship Milwaukee,2025-10-10,gardevoir-jellicent,Gardevoir Jellicent,139,2300,0.06043478260869565,6.0434782608695645,>=5%,True,43.55,47.22009202453988,-3.6700920245398834,0.00219920029080356,15,410,24.778260869565216,0.6053693630461485,-0.7056289948049868,-0.7056289948049868,2,3,4,4.136690647482014,3.102517985611511,2.068345323741007,0.8866473757011352,0
0040,Regional Championship Milwaukee,2025-10-10,gholdengo-dragapult,Gholdengo Dragapult,1,2300,0.0004347826086956522,0.043478260869565216,<0.5%,True,40.0,47.22009202453988,-7.2200920245398805,0.0,0,410,0.1782608695652174,0.0,-0.439912167917873,-0.439912167917873,0,0,0,0.0,0.0,0.0,-0.03959617434579478,0
0040,Regional Championship Milwaukee,2025-10-10,gholdengo-dudunsparce,Gholdengo Dudunsparce,1,2300,0.0004347826086956522,0.043478260869565216,<0.5%,True,50.0,47.22009202453988,2.7799079754601195,0.0,0,410,0.1782608695652174,0.0,-0.439912167917873,-0.439912167917873,0,0,0,0.0,0.0,0.0,-0.03959617434579478,0
0040,Regional Championship Milwaukee,2025-10-10,gholdengo-ex,Gholdengo,67,2300,0.029130434782608697,2.9130434782608696,2-5%,True,43.52,47.22009202453988,-3.7000920245398774,-0.0049042145593816144,8,410,11.943478260869565,0.6698216235893703,-0.5498550645319531,-0.5498550645319531,0,0,0,0.0,0.0,0.0,-1.5182066938946173,0
0040,Regional Championship Milwaukee,2025-10-10,gholdengo-joltik-box,Gholdengo Joltik Box,61,2300,0.026521739130434784,2.6521739130434785,2-5%,True,50.82,47.22009202453988,3.5999079754601198,-0.0035294117647026724,16,410,10.873913043478261,1.4714114354258296,0.5367373448047461,0.5367373448047461,0,0,0,0.0,0.0,0.0,-1.4315648252043534,0
0040,Regional Championship Milwaukee,2025-10-10,gholdengo-lunatone,Gholdengo Lunatone,151,2300,0.06565217391304348,6.565217391304349,>=5%,True,47.98,47.22009202453988,0.7599079754601163,0.003121387283236743,32,410,26.917391304347827,1.1888224842513326,0.24534840928949514,0.24534840928949514,0,0,1,0.0,0.0,0.47599337748344367,-0.7940315485664583,0
0040,Regional Championship Milwaukee,2025-10-10,gouging-fire-ex,Gouging Fire,1,2300,0.0004347826086956522,0.043478260869565216,<0.5%,True,54.17,47.22009202453988,6.949907975460121,0.003333333333337407,0,410,0.1782608695652174,0.0,-0.439912167917873,-0.439912167917873,0,0,0,0.0,0.0,0.0,-0.03959617434579478,0
0040,Regional Championship Milwaukee,2025-10-10,great-tusk-tef,Great Tusk Mill,3,2300,0.0013043478260869566,0.13043478260869568,<0.5%,True,37.68,47.22009202453988,-9.54009202453988,-0.0011594202898521644,0,410,0.5347826086956522,0.0,-1.0493277123635683,-1.0493277123635683,0,0,0,0.0,0.0,0.0,-0.11567020719226427,0
0040,Regional Championship Milwaukee,2025-10-10,greninja-ex,Greninja,4,2300,0.0017391304347826088,0.17391304347826086,<0.5%,True,41.67,47.22009202453988,-5.550092024539879,0.003333333333337407,0,410,0.7130434782608696,0.0,-1.278631260884812,-1.278631260884812,0,0,0,0.0,0.0,0.0,-0.15225397511525687,0
0040,Regional Championship Milwaukee,2025-10-10,grimmsnarl-froslass,Grimmsnarl Froslass,190,2300,0.08260869565217391,8.26086956521739,>=5%,True,50.39,47.22009202453988,3.16990797546012,-0.004477317554240301,34,410,33.869565217391305,1.0038510911424903,0.005464760476811273,0.005464760476811273,1,2,3,1.5131578947368423,1.5131578947368423,1.1348684210526316,0.15499313605086157,0
0040,Regional Championship Milwaukee,2025-10-10,ho-oh-armarouge,Ho-Oh Armarouge,27,2300,0.011739130434782608,1.1739130434782608,1-2%,True,47.31,47.22009202453988,0.08990797546012175,-0.0018279569892456493,7,410,4.8130434782608695,1.4543812104787714,0.49735207673416415,0.49735207673416415,0,0,0,0.0,0.0,0.0,-0.808429822175047,0
0040,Regional Championship Milwaukee,2025-10-10,hop-zacian,Hop's Zacian,4,2300,0.0017391304347826088,0.17391304347826086,<0.5%,True,35.9,47.22009202453988,-11.320092024539882,0.0025641025641007786,0,410,0.7130434782608696,0.0,-1.278631260884812,-1.278631260884812,0,0,0,0.0,0.0,0.0,-0.15225397511525687,0
0040,Regional Championship Milwaukee,2025-10-10,hydrapple-ex,Hydrapple,2,2300,0.0008695652173913044,0.08695652173913043,<0.5%,True,12.5,47.22009202453988,-34.72009202453988,0.0,0,410,0.3565217391304348,0.0,-0.7765617685120009,-0.7765617685120009,0,0,0,0.0,0.0,0.0,-0.07813456042394466,0
0040,Regional Championship Milwaukee,2025-10-10,hydrapple-ogerpon,Hydrapple Ogerpon,16,2300,0.006956521739130435,0.6956521739130435,0.5-1%,True,30.84,47.22009202453988,-16.38009202453988,-0.001121495327101485,0,410,2.8521739130434782,0.0,-2.7450969989706593,-2,0,0,0,0.0,0.0,0.0,-0.531286520938607,0
0040,Regional Championship Milwaukee,2025-10-10,hydreigon-ex,Hydreigon,11,2300,0.004782608695652174,0.47826086956521735,<0.5%,True,41.55,47.22009202453988,-5.670092024539883,0.004106280193234113,0,410,1.9608695652173913,0.0,-2.299168191887507,-2,0,0,0,0.0,0.0,0.0,-0.38525095168253426,0
0040,Regional Championship Milwaukee,2025-10-10,iron-hands-magneton,Iron Hands Magneton,1,2300,0.0004347826086956522,0.043478260869565216,<0.5%,True,50.0,47.22009202453988,2.7799079754601195,0.0,0,410,0.1782608695652174,0.0,-0.439912167917873,-0.439912167917873,0,0,0,0.0,0.0,0.0,-0.03959617434579478,0
0040,Regional Championship Milwaukee,2025-10-10,joltik-box,Joltik Box,32,2300,0.01391304347826087,1.391304347826087,1-2%,True,54.64,47.22009202453988,7.41990797546012,-0.0048087431693986105,9,410,5.7043478260869565,1.5777439024390245,0.6146479449121973,0.6146479449121973,0,0,0,0.0,0.0,0.0,-0.9187180791955716,0
