target_id,target_name,target_start_date,target_event_type,target_format,window_class,cohort_id,online_only_available,online_only_accuracy_pct,online_only_mae_pp,irl_only_available,irl_only_accuracy_pct,irl_only_mae_pp,fifty_fifty_available,fifty_fifty_accuracy_pct,fifty_fifty_mae_pp,current_v2_1_available,current_v2_1_accuracy_pct,current_v2_1_mae_pp
0014,Regional Championship Toronto,2024-12-13,Regional Championship,BRS-SSP,settled,C012,True,67.49890064890467,0.5200175896175252,True,83.13211929574484,0.37072265284077277,True,83.81727110668086,0.3112063248715217,True,84.26332156789319,0.30262843138666945
0015,Regional Championship Birmingham,2025-01-18,Regional Championship,BRS-SSP,settled,C013,True,71.82742134828572,0.39961104470516706,True,85.53317269244238,0.29828509912489926,True,83.92596720629177,0.24354595141982172,True,81.0087590489839,0.2877460750153954
0016,Regional Championship Rio de Janeiro,2025-01-18,Regional Championship,BRS-SSP,settled,C013,True,70.04087373552635,0.43735950751056424,True,81.71672589753409,0.393188690375611,True,80.24837959432702,0.30155145657516,True,78.15458163125487,0.3335178376907653
0017,Regional Championship San Antonio,2025-01-24,Regional Championship,BRS-SSP,settled,C014,True,67.03908679621038,0.474257743939419,True,86.94225348295116,0.26648462279691515,False,,,False,,
0018,Regional Championship Mérida,2025-02-08,Regional Championship,BRS-PRE,transition,C015,True,76.0156971375808,0.4360782338621674,False,,,False,,,False,,
0019,Special Event San Juan,2025-02-15,Special Event,BRS-PRE,settled,C016,True,72.94511162750538,0.43991688410560364,True,77.11727950012016,0.7890593275820633,True,80.10434806721757,0.4421255985062763,True,80.03059841384282,0.44376447969238164
0020,International Championship London,2025-02-21,International Championship,BRS-PRE,settled,C017,True,77.02784136157594,0.35071997921258113,True,83.85807591633845,0.3710787145669323,False,,,False,,
0021,Regional Championship Vancouver,2025-03-07,Regional Championship,BRS-PRE,settled,C018,True,73.05546939643031,0.41774466052046033,True,81.34272155378946,0.4100500757408909,True,81.36332645582029,0.329852629100526,True,81.05236826648382,0.3353563138675428
0022,Regional Championship Fortaleza,2025-03-08,Regional Championship,BRS-PRE,settled,C018,True,70.36594591990843,0.4630320950014309,True,74.61667555648069,0.5518114009460723,True,74.48561888950844,0.44762072123669383,True,74.42418921714433,0.44869843478694144
0023,Regional Championship Stockholm,2025-03-22,Regional Championship,BRS-PRE,settled,C019,True,70.14224144055815,0.4558436421288832,True,83.89382611675425,0.4026543470811437,True,77.4416104835995,0.5012975448089001,True,76.11515437107587,0.5307743473094249
0024,Regional Championship Brisbane,2025-03-29,Regional Championship,BRS-PRE,settled,C020,True,69.91400073227925,0.45932823309497345,True,81.5796733762124,0.5339225108344232,True,75.23031416142231,0.6192421459644422,True,76.96353490757203,0.5759116273106993
0025,Regional Championship Atlanta,2025-04-11,Regional Championship,SVI-JTG,transition,C021,True,76.18427290286435,0.48112579994213434,False,,,False,,,False,,
0026,Regional Championship Monterrey,2025-04-19,Regional Championship,SVI-JTG,settled,C022,True,68.9463626518401,0.6537607862770505,True,78.86621315192744,0.5350325784322167,False,,,False,,
0027,Special Event Seville,2025-04-26,Special Event,SVI-JTG,settled,C023,True,74.3957780583626,0.5447706796093065,True,82.9394072071729,0.4945099360239737,True,88.79993310072692,0.28354599744995146,True,88.5674002903269,0.2894329040423568
0028,Regional Championship Milwaukee,2025-05-02,Regional Championship,SVI-JTG,settled,C024,True,66.77217316506055,0.6515260163713618,True,71.34514141995439,0.7959682938901558,True,79.22781316482646,0.5128935021030504,True,77.93443983918718,0.5448286459459957
0029,Regional Championship Melbourne,2025-05-17,Regional Championship,SVI-JTG,settled,C025,True,68.32821547909884,0.6210153827627677,True,80.00803697006229,0.6058170615132641,True,80.06367753203196,0.5047170245055199,True,79.82939423445752,0.5106482472289233
0030,Special Event Utrecht,2025-05-17,Special Event,SVI-JTG,settled,C025,True,70.36233121794619,0.575488714214637,True,82.41383241383242,0.42893091673579475,True,84.82230982230983,0.3410716893862961,True,84.63682863682864,0.3452398059139632
