key,name,cohorts,mean_residual_pp,residual_sd_pp,mean_abs_residual_pp,online_delta_residual_slope,mean_forecast_share_pct
regidrago-vstar,Regidrago,9,-0.003040013611039184,0.9063083826776842,0.7011542955462602,0.08218062141018447,6.802584131755897
snorlax-stall,Snorlax Stall,9,0.13250892854222485,0.9514997761877672,0.7838836511704493,0.33814049983183725,2.6926797523019728
crustle-dri,Crustle,8,-0.04269197050824497,1.165721983527535,0.8617749393766237,0.3714422942313798,1.643509159365742
ethan-typhlosion,Ethan's Typhlosion,8,0.12569868043308668,0.5396458726655959,0.2680931643860335,0.626036324240893,0.9315611180325746
froslass-munkidori,Froslass Munkidori,8,-0.2449087968309527,0.5225234098332022,0.477204552278634,-0.20188727256818426,1.3090528860148387
gardevoir-jellicent,Gardevoir Jellicent,8,0.3948048396514609,1.0970238410058082,0.9175391303508116,0.35996813713274634,4.204378266357059
iron-thorns-ex,Iron Thorns,8,0.10114766274293921,0.6427170928463084,0.45966623574650944,0.8924332923601636,1.538143187792171
gholdengo-dragapult,Gholdengo Dragapult,7,0.16822238496095263,1.1384569214894498,0.6726165146746192,-0.044099748852655885,3.374124793427776
greninja-ex,Greninja,7,-0.12363521874722129,0.43513852322317625,0.36143578729367504,0.5430275814123656,1.02949419182655
palkia-dusknoir,Palkia Dusknoir,7,-0.5995820148426684,0.5873984578952168,0.6092929235941095,0.3430033532482487,3.256518019264277
palkia-noctowl,Palkia Noctowl,7,0.01632718631859057,0.3830844291390316,0.3101582415105083,0.3306390964200769,0.9300359366189207
chien-pao-baxcalibur,Chien-Pao Baxcalibur,6,-0.009310864904819182,0.3244661666274337,0.25696125679111687,0.5469761732812266,0.7235066056185697
gholdengo-lunatone,Gholdengo Lunatone,6,1.4229874034433327,3.123783235031896,2.49345520277529,0.6235824661709654,11.305024848253188
gouging-fire-ex,Gouging Fire,6,0.06985347112820385,0.34300780553134574,0.2754745313318062,0.1131470906955822,0.8563128273821808
kangaskhan-bouffalant,Kangaskhan Bouffalant,6,-0.2315625761158725,0.23360429958639098,0.2365852406278981,0.0686836636674299,1.6219720736379597
klawf-terapagos,Klawf Terapagos,6,-1.106893598107782,0.3996285280843948,1.106893598107782,-0.16405023307997732,1.106893598107782
mega-absol-box,Mega Absol Box,6,-0.1911384211622149,1.3496855269074863,1.1284264374987403,0.2567792659591543,4.42997725410907
poison-terapagos,Poison Terapagos,6,1.903044690873256,1.1643306274257017,1.903044690873256,0.06434954675967018,3.0390385466055427
blissey-ex,Blissey,5,0.04098165169350035,0.2335454424174286,0.1991023210632531,0.09654577122188861,0.7466826308316349
dragapult-iron-thorns,Dragapult Iron Thorns,5,-0.02193150301853606,1.3279993378286536,0.9417714729761313,0.5864116985516412,2.4858571649285297
dragapult-pidgeot,Dragapult Pidgeot,5,0.30195807250267487,0.4266104301651273,0.4258502881139705,0.24979325560137422,1.2281953531947545
gholdengo-dudunsparce,Gholdengo Dudunsparce,5,-0.5422940608927651,1.10499871730379,0.7354614853345579,0.4532360977339102,2.4679376158747592
gholdengo-joltik-box,Gholdengo Joltik Box,5,0.8195668103960976,2.0950012300737786,1.0545698700780055,0.8133941837116989,2.5588928519156626
hop-zacian,Hop's Zacian,5,-0.4095099420059345,0.31009986406266477,0.4095099420059345,-0.08635983098637558,1.4317737326228677
poison-archaludon,Poison Archaludon,5,-0.20812023535900828,0.5683015346145787,0.4798683935228927,1.2450426905248753,2.2148836191836185
