series,cohort_id,date,event_count,cohort_mean_accuracy_pct
fifty_fifty_complete_case,C018,2025-03-07,2,77.92447267266436
fifty_fifty_complete_case,C019,2025-03-22,1,77.4416104835995
fifty_fifty_complete_case,C020,2025-03-29,1,75.23031416142231
fifty_fifty_complete_case,C023,2025-04-26,1,88.79993310072692
fifty_fifty_complete_case,C024,2025-05-02,1,79.22781316482646
fifty_fifty_complete_case,C025,2025-05-17,3,81.63373289341091
fifty_fifty_complete_case,C026,2025-05-23,1,86.22163453680288
fifty_fifty_complete_case,C027,2025-05-31,1,85.35943395681291
fifty_fifty_complete_case,C030,2025-09-13,2,84.37536032623116
fifty_fifty_complete_case,C031,2025-09-19,1,86.19767334737895
fifty_fifty_complete_case,C033,2025-10-25,1,86.99595435072449
fifty_fifty_complete_case,C034,2025-11-01,2,85.53089581888734
fifty_fifty_complete_case,C038,2026-01-16,1,77.53316113856832
fifty_fifty_complete_case,C039,2026-01-24,2,87.60596357233425
fifty_fifty_complete_case,C040,2026-02-07,2,83.16823501532792
fifty_fifty_complete_case,C046,2026-03-28,1,83.14425427056077
fifty_fifty_complete_case,C049,2026-05-08,1,83.90360160411406
fifty_fifty_complete_case,C050,2026-05-16,2,86.53209057409188
fifty_fifty_complete_case,C054,2026-06-12,1,80.24398449616699
current_v2_1_complete_case,C005,2024-10-19,1,88.06188052011211
current_v2_1_complete_case,C006,2024-11-02,1,84.01317386954365
current_v2_1_complete_case,C010,2024-11-30,1,85.18740411785171
current_v2_1_complete_case,C012,2024-12-13,1,84.26332156789319
current_v2_1_complete_case,C013,2025-01-18,2,79.58167034011939
current_v2_1_complete_case,C016,2025-02-15,1,80.03059841384282
current_v2_1_complete_case,C018,2025-03-07,2,77.73827874181407
current_v2_1_complete_case,C019,2025-03-22,1,76.11515437107587
current_v2_1_complete_case,C020,2025-03-29,1,76.96353490757203
current_v2_1_complete_case,C023,2025-04-26,1,88.5674002903269
current_v2_1_complete_case,C024,2025-05-02,1,77.93443983918718
current_v2_1_complete_case,C025,2025-05-17,3,81.34262924787689
current_v2_1_complete_case,C026,2025-05-23,1,87.59105599299977
current_v2_1_complete_case,C027,2025-05-31,1,86.10033248392185
current_v2_1_complete_case,C030,2025-09-13,2,85.63693422940764
current_v2_1_complete_case,C031,2025-09-19,1,86.93939052190225
current_v2_1_complete_case,C033,2025-10-25,1,86.6361016087837
current_v2_1_complete_case,C034,2025-11-01,2,85.89422617475907
current_v2_1_complete_case,C038,2026-01-16,1,77.1872106090166
current_v2_1_complete_case,C039,2026-01-24,2,87.91439395820089
current_v2_1_complete_case,C040,2026-02-07,2,82.47791656743445
current_v2_1_complete_case,C046,2026-03-28,1,84.3437539632213
current_v2_1_complete_case,C049,2026-05-08,1,84.07228774644044
current_v2_1_complete_case,C050,2026-05-16,2,86.64025016476884
current_v2_1_complete_case,C054,2026-06-12,1,81.30054843090754
